iter	Passed	Remaining
0	16	16222
1	21	10639
2	26	8874
3	31	7948
4	36	7346
5	42	7105
6	56	8001
7	61	7601
8	65	7200
9	68	6810
10	73	6587
11	77	6343
12	81	6191
13	85	6035
14	89	5896
15	94	5812
16	98	5719
17	102	5610
18	106	5519
19	111	5440
20	114	5343
21	128	5713
22	142	6039
23	152	6204
24	159	6217
25	165	6198
26	170	6146
27	179	6214
28	184	6190
29	191	6193
30	200	6261
31	205	6223
32	210	6180
33	217	6184
34	227	6273
35	232	6225
36	237	6192
37	244	6181
38	249	6147
39	254	6104
40	258	6050
41	281	6414
42	284	6342
43	288	6275
44	294	6243
45	298	6195
46	302	6143
47	306	6088
48	312	6070
49	316	6018
50	320	5968
51	324	5920
52	328	5877
53	332	5818
54	336	5776
55	339	5727
56	344	5702
57	347	5651
58	353	5632
59	357	5596
60	362	5584
61	368	5576
62	377	5613
63	381	5582
64	386	5564
65	390	5526
66	394	5499
67	398	5460
68	402	5430
69	405	5392
70	409	5362
71	413	5325
72	416	5288
73	420	5258
74	424	5231
75	427	5196
76	430	5158
77	434	5140
78	438	5117
79	443	5097
80	446	5064
81	449	5036
82	457	5056
83	466	5083
84	470	5065
85	475	5052
86	479	5033
87	483	5012
88	487	4986
89	491	4966
90	494	4939
91	497	4912
92	501	4888
93	505	4870
94	509	4853
95	513	4831
96	517	4813
97	521	4798
98	526	4793
99	530	4771
100	534	4754
101	537	4734
102	541	4718
103	545	4699
104	548	4679
105	552	4658
106	556	4642
107	560	4630
108	563	4609
109	568	4600
110	577	4621
111	580	4604
112	584	4589
113	588	4574
114	592	4560
115	595	4541
116	599	4524
117	602	4503
118	606	4488
119	609	4469
120	612	4450
121	616	4434
122	619	4414
123	622	4400
124	626	4382
125	629	4365
126	632	4350
127	636	4333
128	640	4321
129	643	4308
130	646	4291
131	650	4276
132	653	4260
133	657	4249
134	661	4237
135	664	4224
136	668	4210
137	672	4203
138	676	4189
139	680	4178
140	684	4168
141	688	4160
142	692	4150
143	696	4137
144	699	4127
145	703	4113
146	706	4099
147	709	4087
148	713	4074
149	717	4063
150	720	4053
151	724	4042
152	727	4029
153	731	4019
154	736	4013
155	740	4008
156	744	3997
157	749	3995
158	754	3992
159	759	3985
160	763	3976
161	766	3966
162	771	3960
163	774	3948
164	777	3935
165	781	3927
166	785	3917
167	788	3907
168	792	3894
169	795	3881
170	802	3889
171	808	3891
172	813	3886
173	817	3882
174	822	3878
175	827	3872
176	831	3866
177	835	3860
178	840	3856
179	844	3848
180	848	3840
181	852	3831
182	855	3821
183	859	3809
184	862	3800
185	866	3790
186	870	3783
187	873	3771
188	876	3760
189	880	3752
190	883	3743
191	887	3736
192	890	3725
193	894	3717
194	898	3708
195	902	3700
196	905	3689
197	908	3678
198	911	3670
199	915	3660
200	918	3652
201	921	3641
202	924	3630
203	928	3624
204	932	3615
205	936	3608
206	939	3597
207	942	3588
208	947	3585
209	950	3577
210	955	3571
211	959	3566
212	963	3558
213	966	3549
214	970	3543
215	973	3533
216	977	3525
217	980	3518
218	984	3510
219	988	3502
220	991	3493
221	995	3487
222	998	3478
223	1002	3472
224	1005	3464
225	1009	3458
226	1013	3451
227	1017	3444
228	1020	3436
229	1024	3428
230	1028	3422
231	1031	3413
232	1035	3407
233	1038	3399
234	1041	3390
235	1045	3384
236	1048	3375
237	1052	3368
238	1055	3360
239	1058	3352
240	1062	3344
241	1065	3335
242	1068	3327
243	1071	3319
244	1074	3311
245	1078	3304
246	1081	3297
247	1084	3289
248	1087	3281
249	1091	3274
250	1095	3267
251	1098	3260
252	1102	3254
253	1105	3245
254	1108	3237
255	1111	3231
256	1115	3224
257	1119	3219
258	1122	3211
259	1126	3205
260	1129	3198
261	1133	3193
262	1136	3185
263	1139	3177
264	1143	3170
265	1146	3164
266	1150	3159
267	1154	3152
268	1157	3145
269	1161	3140
270	1166	3136
271	1169	3129
272	1172	3122
273	1176	3117
274	1181	3114
275	1187	3114
276	1192	3111
277	1195	3105
278	1200	3102
279	1204	3097
280	1209	3094
281	1214	3091
282	1220	3091
283	1224	3088
284	1229	3083
285	1233	3078
286	1236	3071
287	1239	3065
288	1243	3059
289	1247	3054
290	1251	3049
291	1255	3043
292	1261	3042
293	1265	3038
294	1268	3032
295	1272	3026
296	1276	3020
297	1280	3015
298	1284	3010
299	1287	3004
300	1291	2998
301	1295	2993
302	1298	2987
303	1301	2979
304	1305	2974
305	1308	2967
306	1312	2961
307	1315	2954
308	1318	2948
309	1322	2943
310	1325	2936
311	1329	2931
312	1333	2926
313	1336	2920
314	1340	2914
315	1343	2908
316	1347	2903
317	1350	2896
318	1354	2892
319	1358	2885
320	1362	2881
321	1366	2876
322	1369	2870
323	1373	2864
324	1376	2858
325	1380	2854
326	1383	2848
327	1387	2842
328	1390	2836
329	1394	2831
330	1397	2825
331	1401	2819
332	1405	2814
333	1409	2810
334	1414	2808
335	1419	2805
336	1423	2799
337	1427	2796
338	1431	2791
339	1435	2786
340	1438	2780
341	1441	2774
342	1446	2770
343	1449	2764
344	1453	2759
345	1456	2752
346	1460	2748
347	1463	2742
348	1467	2736
349	1470	2731
350	1474	2726
351	1478	2721
352	1481	2715
353	1484	2709
354	1488	2704
355	1491	2698
356	1495	2693
357	1498	2687
358	1502	2682
359	1505	2676
360	1509	2671
361	1512	2665
362	1515	2658
363	1518	2654
364	1522	2648
365	1525	2642
366	1528	2636
367	1531	2630
368	1535	2625
369	1538	2619
370	1542	2615
371	1545	2609
372	1549	2604
373	1552	2598
374	1556	2593
375	1559	2587
376	1562	2582
377	1565	2576
378	1568	2570
379	1571	2564
380	1574	2558
381	1577	2552
382	1581	2547
383	1584	2542
384	1587	2536
385	1591	2531
386	1594	2525
387	1597	2519
388	1600	2514
389	1603	2508
390	1606	2502
391	1610	2497
392	1613	2491
393	1616	2485
394	1619	2480
395	1623	2475
396	1626	2470
397	1629	2464
398	1633	2459
399	1636	2454
400	1639	2448
401	1642	2442
402	1645	2437
403	1650	2435
404	1654	2429
405	1657	2424
406	1660	2419
407	1663	2413
408	1667	2409
409	1670	2403
410	1674	2399
411	1677	2394
412	1680	2389
413	1684	2384
414	1688	2379
415	1691	2374
416	1695	2369
417	1698	2364
418	1701	2359
419	1705	2354
420	1708	2349
421	1711	2343
422	1713	2337
423	1717	2332
424	1720	2327
425	1723	2321
426	1726	2316
427	1729	2310
428	1732	2305
429	1734	2299
430	1738	2294
431	1742	2290
432	1745	2285
433	1748	2280
434	1752	2275
435	1755	2270
436	1758	2265
437	1761	2260
438	1765	2255
439	1768	2250
440	1771	2245
441	1774	2240
442	1777	2234
443	1780	2229
444	1784	2225
445	1788	2221
446	1791	2215
447	1794	2211
448	1797	2206
449	1801	2201
450	1805	2197
451	1808	2192
452	1812	2188
